dt,name,code,score
2016.05.10,한섬,'020000,4
2016.05.10,CJ CGV,'079160,4
2016.05.10,한국전력,'015760,4
2016.05.10,BGF리테일,'027410,4
2016.05.10,현대그린푸드,'005440,4
2016.05.10,현대홈쇼핑,'057050,4
2016.05.10,두산인프라코어,'042670,4
2016.05.10,코스맥스,'192820,4
2016.05.10,현대백화점,'069960,4
2016.05.10,삼진제약,'005500,4
2016.05.09,동원산업,'006040,4
2016.05.09,롯데하이마트,'071840,4
2016.05.09,CJ오쇼핑,'035760,4
2016.05.17,대한제강,'084010,4
2016.05.17,SBS,'034120,4
2016.05.17,삼성증권,'016360,4
2016.05.17,오스템임플란트,'048260,4
2016.05.17,아모텍,'052710,4
2016.05.17,롯데칠성,'005300,4
2016.05.17,매일유업,'005990,4
2016.05.17,쿠쿠전자,'192400,4
2016.05.16,엠케이트렌드,'069640,4
2016.05.16,포스코 ICT,'022100,4
2016.05.16,NHN엔터테인먼트,'181710,4
2016.05.16,엔씨소프트,'036570,4
2016.05.16,NH투자증권,'005940,4
2016.05.16,삼성생명,'032830,4
2016.05.16,미래에셋증권,'037620,4
2016.05.16,조이시티,'067000,4
2016.05.16,엔씨소프트,'036570,4
2016.05.16,오리온,'001800,4
2016.05.13,한국콜마,'161890,4
2016.05.13,한화케미칼,'009830,4
2016.05.13,한국가스공사,'036460,4
2016.05.13,동양생명,'082640,4
2016.05.13,에스엠,'041510,4
2016.05.13,카카오,'035720,4
2016.05.13,종근당바이오,'063160,4
2016.05.12,안트로젠,'065660,4
2016.05.12,BGF리테일,'027410,4
2016.06.03,한라홀딩스,'060980,4
2016.06.03,만도,'204320,4
2016.06.02,한국전력,'015760,4
2016.06.02,쌍용차,'003620,4
2016.06.01,광동제약,'009290,4
2016.05.31,SK텔레콤,'017670,4
2016.05.30,한국금융지주,'071050,4
2016.05.30,LS,'006260,4
2016.05.27,엠케이트렌드,'069640,4
2016.05.25,창해에탄올,'004650,4
2016.05.24,SK,'034730,4
2016.05.24,SK머티리얼즈,'036490,4
2016.05.24,바디텍메드,'206640,4
2016.05.23,한국전력,'015760,4
2016.05.23,현대백화점,'069960,4
2016.05.19,한진칼,'180640,4
2016.05.19,키이스트,'054780,4
2016.05.18,LG,'003550,4
2016.05.17,동아쏘시오홀딩스,'000640,4
2016.05.17,동국제약,'086450,4
2016.05.17,SK,'034730,4
2016.05.17,SK디앤디,'210980,4
2016.05.17,한국철강,'104700,4
2016.06.16,농우바이오,'054050,4
2016.06.16,웅진씽크빅,'095720,4
2016.06.16,맥쿼리인프라,'088980,4
2016.06.16,쿠쿠전자,'192400,4
2016.06.15,한국전력,'015760,4
2016.06.15,파트론,'091700,4
2016.06.14,현대홈쇼핑,'057050,4
2016.06.14,삼성SDI,'006400,4
2016.06.14,보령제약,'003850,4
2016.06.14,한솔제지,'213500,4
2016.06.13,NAVER,'035420,4
2016.06.13,SK네트웍스,'001740,4
2016.06.13,LG이노텍,'011070,4
2016.06.10,베셀,'177350,4
2016.06.10,아이마켓코리아,'122900,4
2016.06.09,LG전자,'066570,4
2016.06.09,두산인프라코어,'042670,4
2016.06.09,선데이토즈,'123420,4
2016.06.08,롯데하이마트,'071840,4
2016.06.08,기아차,'000270,4
2016.06.08,녹십자,'006280,4
2016.06.07,맥쿼리인프라,'088980,4
2016.06.07,현대로템,'064350,4
2016.06.07,풀무원,'017810,4
2016.06.07,남양유업,'003920,4
2016.06.07,아이센스,'099190,4
2016.06.07,한샘,'009240,4
2016.06.24,동서,'026960,4
2016.06.22,한화테크윈,'012450,4
2016.06.22,GS홈쇼핑,'028150,4
2016.06.22,빙그레,'005180,4
2016.06.22,LF,'093050,4
2016.06.22,한섬,'020000,4
2016.06.22,신세계인터내셔날,'031430,4
2016.06.20,진로발효,'018120,4
2016.06.20,대아티아이,'045390,4
2016.06.20,LG유플러스,'032640,4
2016.06.20,LG생명과학,'068870,4
2016.06.20,LG화학,'051910,4
2016.06.20,LG이노텍,'011070,4
2016.06.20,LG생활건강,'051900,4
2016.06.20,LG디스플레이,'034220,4
2016.06.20,LG,'003550,4
2016.06.20,LG전자,'066570,4
2016.07.04,동아쏘시오홀딩스,'000640,4
2016.07.04,지엠비코리아,'013870,4
2016.07.04,맥쿼리인프라,'088980,4
2016.07.01,환인제약,'016580,4
2016.06.30,더블유게임즈,'192080,4
2016.06.28,현대위아,'011210,4
2016.06.28,신세계푸드,'031440,4
2016.06.28,LG상사,'001120,4
2016.06.28,포스코대우,'047050,4
2016.06.28,SK가스,'018670,4
2016.06.28,GS,'078930,4
2016.06.28,S-Oil,'010950,4
2016.06.28,SK이노베이션,'096770,4
2016.06.28,OCI,'010060,4
2016.06.28,국도화학,'007690,4
2016.06.28,SKC,'011790,4
2016.06.28,KCC,'002380,4
2016.06.28,금호석유,'011780,4
2016.06.28,한화케미칼,'009830,4
2016.06.28,롯데케미칼,'011170,4
2016.06.28,LG화학,'051910,4
2016.07.13,현대차,'005380,4
2016.07.13,LS산전,'010120,4
2016.07.13,SK디앤디,'210980,4
2016.07.11,한국전자금융,'063570,4
2016.07.11,화승인더,'006060,4
2016.07.11,동성코퍼레이션,'102260,4
2016.07.11,한국전력,'015760,4
2016.07.11,LG전자,'066570,4
2016.07.08,동아에스티,'170900,4
2016.07.08,파트론,'091700,4
2016.07.08,LS,'006260,4
2016.07.07,현대리바트,'079430,4
2016.07.07,에스원,'012750,4
2016.07.07,대상,'001680,4
2016.07.07,크리스탈,'083790,4
2016.07.06,SK디앤디,'210980,4
2016.07.04,녹십자홀딩스,'005250,4
2016.07.04,대웅,'003090,4
2016.07.04,종근당홀딩스,'001630,4
2016.07.21,제일기획,'030000,4
2016.07.21,세아베스틸,'001430,2
2016.07.21,신세계푸드,'031440,4
2016.07.20,디오,'039840,4
2016.07.19,두산인프라코어,'042670,4
2016.07.19,무학,'033920,4
2016.07.15,바텍,'043150,4
2016.07.15,LG유플러스,'032640,4
2016.07.15,서울반도체,'046890,4
2016.07.14,POSCO,'005490,4
2016.07.14,현대제철,'004020,4
2016.07.14,KT,'030200,4
2016.07.14,롯데하이마트,'071840,4
2016.07.14,기아차,'000270,4
2016.07.13,LG디스플레이,'034220,4
2016.07.13,삼성전기,'009150,4
2016.07.13,세코닉스,'053450,4
2016.07.13,SK,'034730,4
2016.07.13,엔씨소프트,'036570,4
2016.07.13,옵트론텍,'082210,4
2016.07.13,SK머티리얼즈,'036490,4
2016.07.13,KT,'030200,4
2016.07.13,아비코전자,'036010,4
2016.07.13,컴투스,'078340,4
2016.07.13,카카오,'035720,4
2016.07.13,LG,'003550,4
2016.07.13,LG이노텍,'011070,4
2016.07.13,SK하이닉스,'000660,4
2016.07.13,동원산업,'006040,4
2016.07.13,신세계,'004170,4
2016.07.27,현대산업,'012630,4
2016.07.27,현대차,'005380,4
2016.07.27,현대차,'005380,4
2016.07.27,신세계인터내셔날,'031430,4
2016.07.26,현대제철,'004020,4
2016.07.26,LS산전,'010120,4
2016.07.26,인터플렉스,'051370,4
2016.07.26,보령제약,'003850,4
2016.07.26,포스코 ICT,'022100,4
2016.07.25,사조산업,'007160,4
2016.07.25,농심,'004370,4
2016.07.25,팜스토리,'027710,4
2016.07.25,OCI,'010060,4
2016.07.25,LG화학,'051910,4
2016.07.25,바디텍메드,'206640,4
2016.07.25,엠케이트렌드,'069640,4
2016.07.25,삼성전기,'009150,4
2016.07.25,OCI,'010060,4
2016.07.22,POSCO,'005490,4
2016.07.22,포스코대우,'047050,4
2016.07.22,에스원,'012750,4
2016.07.22,KB손해보험,'002550,4
2016.07.22,KT&amp;G,'033780,4
2016.07.22,롯데쇼핑,'023530,4
2016.07.22,KT&amp;G,'033780,4
2016.07.22,LG생명과학,'068870,4
2016.08.01,아모레퍼시픽,'090430,4
2016.08.01,KT,'030200,4
2016.08.01,대우건설,'047040,4
2016.08.01,삼성SDI,'006400,4
2016.08.01,서울반도체,'046890,4
2016.08.01,삼성중공업,'010140,2
2016.07.29,메리츠화재,'000060,2
2016.07.29,세아베스틸,'001430,2
2016.07.29,GS건설,'006360,4
2016.07.29,대림산업,'000210,4
2016.07.29,한미약품,'128940,4
2016.07.29,LG전자,'066570,4
2016.07.29,대현,'016090,4
2016.07.29,NAVER,'035420,4
2016.07.29,SK텔레콤,'017670,4
2016.07.28,현대건설,'000720,4
2016.07.28,녹십자,'006280,4
2016.07.28,LG상사,'001120,4
2016.07.28,한전기술,'052690,4
2016.07.28,동아에스티,'170900,4
2016.07.28,LG디스플레이,'034220,4
2016.07.28,현대미포조선,'010620,4
2016.07.28,LG이노텍,'011070,4
2016.07.28,현대글로비스,'086280,4
2016.07.28,현대위아,'011210,4
2016.07.28,기아차,'000270,4
2016.07.28,한솔제지,'213500,4
2016.07.28,녹십자,'006280,4
2016.07.27,SK하이닉스,'000660,4
2016.08.08,선데이토즈,'123420,4
2016.08.08,CJ제일제당,'097950,4
2016.08.05,CJ CGV,'079160,4
2016.08.05,CJ프레시웨이,'051500,4
2016.08.05,한국전력,'015760,4
2016.08.05,SK머티리얼즈,'036490,4
2016.08.05,더블유게임즈,'192080,4
2016.08.05,코리안리,'003690,4
2016.08.05,BGF리테일,'027410,4
2016.08.05,한화테크윈,'012450,4
2016.08.05,CJ대한통운,'000120,4
2016.08.04,CJ헬로비전,'037560,4
2016.08.03,NH투자증권,'005940,4
2016.08.03,인터로조,'119610,4
2016.08.03,GS홈쇼핑,'028150,4
2016.08.03,삼성전기,'009150,4
2016.08.03,LG이노텍,'011070,4
2016.08.03,LG전자,'066570,4
2016.08.03,SK하이닉스,'000660,4
2016.08.03,삼성SDI,'006400,4
2016.08.02,LG유플러스,'032640,4
2016.08.02,동원산업,'006040,4
2016.08.02,맥쿼리인프라,'088980,2
2016.08.01,SK네트웍스,'001740,4
2016.08.01,아모레퍼시픽,'090430,4
2016.08.01,현대해상,'001450,4
2016.08.01,동부화재,'005830,4
2016.08.01,삼성화재,'000810,4
2016.08.01,한전KPS,'051600,4
2016.08.16,빙그레,'005180,4
2016.08.16,조이시티,'067000,4
2016.08.16,솔브레인,'036830,4
2016.08.16,대한항공,'003490,4
2016.08.16,LS,'006260,4
2016.08.12,삼성생명,'032830,4
2016.08.12,동양생명,'082640,2
2016.08.12,엔씨소프트,'036570,4
2016.08.12,카카오,'035720,4
2016.08.12,대현,'016090,4
2016.08.12,한화케미칼,'009830,4
2016.08.12,엔씨소프트,'036570,4
2016.08.12,인바디,'041830,4
2016.08.12,GS리테일,'007070,4
2016.08.12,현대그린푸드,'005440,4
2016.08.11,한국가스공사,'036460,2
2016.08.11,게임빌,'063080,4
2016.08.11,컴투스,'078340,4
2016.08.11,에코마케팅,'230360,4
2016.08.11,게임빌,'063080,4
2016.08.11,컴투스,'078340,4
2016.08.10,바텍,'043150,4
2016.08.10,CJ E&amp;M,'130960,4
2016.08.09,코스맥스,'192820,4
2016.08.09,두산인프라코어,'042670,4
2016.08.09,현대홈쇼핑,'057050,4
2016.08.08,CJ제일제당,'097950,4
2016.08.08,솔브레인,'036830,4
2016.08.08,롯데하이마트,'071840,4
2016.08.08,와이솔,'122990,4
2016.08.18,보령제약,'003850,4
2016.08.18,대웅제약,'069620,4
2016.08.18,LG생명과학,'068870,4
2016.08.18,쿠쿠전자,'192400,4
2016.08.17,한국철강,'104700,4
2016.08.17,대한제강,'084010,4
2016.08.17,한국콜마,'161890,4
2016.08.17,미래에셋증권,'037620,4
2016.08.17,대상,'001680,4
2016.08.17,매일유업,'005990,4
2016.08.17,농심,'004370,4
2016.08.17,삼립식품,'005610,4
2016.08.17,신세계인터내셔날,'031430,4
2016.08.17,동국제약,'086450,4
2016.08.17,LS,'006260,4
2016.08.17,한화,'000880,4
2016.08.17,SK,'034730,4
